"","location","city","country","utc","local","parameter","value","unit","latitude","longitude","attribution","fyh","fecha","horas","dias","meses"
"43","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T11:00:00.000Z","2019-09-08T06:00:00-05:00","o3",6e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 11:00:00,2019-09-08,11,8,9
"44","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T10:00:00.000Z","2019-09-08T05:00:00-05:00","o3",8e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 10:00:00,2019-09-08,10,8,9
"45","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T09:00:00.000Z","2019-09-08T04:00:00-05:00","o3",0.001,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 09:00:00,2019-09-08,9,8,9
"46","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T08:00:00.000Z","2019-09-08T03:00:00-05:00","o3",0.0012,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 08:00:00,2019-09-08,8,8,9
"47","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T07:00:00.000Z","2019-09-08T02:00:00-05:00","o3",0.0011,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 07:00:00,2019-09-08,7,8,9
"48","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T06:00:00.000Z","2019-09-08T01:00:00-05:00","o3",0.0012,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 06:00:00,2019-09-08,6,8,9
"49","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T05:00:00.000Z","2019-09-08T00:00:00-05:00","o3",0.0014,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 05:00:00,2019-09-08,5,8,9
"50","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T04:00:00.000Z","2019-09-07T23:00:00-05:00","o3",0.004,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 04:00:00,2019-09-08,4,8,9
"51","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T03:00:00.000Z","2019-09-07T22:00:00-05:00","o3",0.0132,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 03:00:00,2019-09-08,3,8,9
"52","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T02:00:00.000Z","2019-09-07T21:00:00-05:00","o3",0.0123,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 02:00:00,2019-09-08,2,8,9
"53","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T01:00:00.000Z","2019-09-07T20:00:00-05:00","o3",0.0124,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 01:00:00,2019-09-08,1,8,9
"54","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-08T00:00:00.000Z","2019-09-07T19:00:00-05:00","o3",0.0104,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-08 00:00:00,2019-09-08,0,8,9
"55","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T23:00:00.000Z","2019-09-07T18:00:00-05:00","o3",0.0369,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 23:00:00,2019-09-07,23,7,9
